Method,Train RMSE,Test RMSE,Train MSE,Test MSE,Train MAE,Test MAE,Train MAPE (%),Test MAPE (%),Train R²,Test R²
XGB_fnn_original,0.30252526701816435,0.612025866920065,0.09152153718441164,0.37457566177925705,0.2338058680890773,0.4754176189506122,6.108632276187647,12.599345202847426,0.9636718212958185,0.844667440028326
XGB_fnn_grid,0.4529095474023602,0.48002715672477664,0.20512705812821078,0.2304260711932733,0.34585973654186336,0.3555086866422136,9.524675162150862,9.493410554139166,0.9185777178356451,0.9044447486186129
XGB_fnn_random,0.45290607915860565,0.4800316654374012,0.20512391653882114,0.2304303998226051,0.34585662674041817,0.35551297245421987,9.524529680004449,9.493448614821897,0.9185789648450844,0.9044429535818717
XGB_fnn_optuna,0.33296985559356646,0.558981325901997,0.11086892473400049,0.31246012270715456,0.2592102332922106,0.43194279481542097,6.970265946856767,11.571149774533147,0.9559921496689718,0.8704260962428247
