WS10M_lag1,RH,MIN_TEMP,PREC,WD_sin,SURF_PRESSURE_DIFF,AVG_TEMP,WD_cos,RH_lag1,MONOSOON_SEASON_Southwest_Monsoon,MAX_TEMP,SL_PRESSURE_lag1,CLOUD_COVER,WS10M,XGB_LSTM
4.25,86.26,23.42,13.42,0.4399391699,0.0300000000000011,26.4,0.8980275758,86.19,0,28.38,1010.4,8.0,4.75,4.6000104
4.75,86.31,22.93,8.79,0.4241994227,-0.0300000000000011,25.1,0.905568799,86.26,0,27.58,1011.0,8.0,5.74,5.843203
5.74,86.88,22.17,2.6,0.5635260489,-0.1500000000000056,26.9,0.8260982945,86.31,0,26.16,1010.1,8.0,5.79,5.9825172
5.79,88.09,23.47,1.65,0.4601997848,-0.0300000000000011,27.3,0.8878153851,86.88,0,27.75,1007.5,7.0,4.52,5.0598335
4.52,93.04,24.04,27.41,0.3681245527,-0.0100000000000051,25.9,0.9297764859,88.09,0,26.7,1008.2,8.0,4.66,4.477777
4.66,87.72,23.37,20.52,0.3485720473,0.1200000000000045,26.4,0.9372819895,93.04,0,28.42,1009.2,6.0,3.61,3.9674494
3.61,91.02,24.16,13.66,0.008726535498,0.0100000000000051,27.4,0.9999619231,87.72,0,27.87,1010.4,5.0,4.19,4.0563555
4.19,91.35,24.48,21.99,0.3173046564,-0.0400000000000062,27.1,0.9483236552,91.02,0,27.13,1010.0,8.0,5.41,5.077583
5.41,86.93,23.62,4.66,0.4984877398,0.0799999999999983,26.1,0.8668967489,91.35,0,29.12,1009.6,6.0,5.95,3.8655825
5.95,84.92,22.74,0.12,0.4939418666,0.1500000000000056,27.2,0.8694949295,86.93,0,28.37,1010.5,4.0,5.8,5.6234255
5.8,82.59,21.67,0.01,0.5591929035,-0.019999999999996,26.2,0.8290375726,84.92,0,27.12,1011.4,5.0,5.64,5.5522003
5.64,80.37,20.57,0.0,0.6586894601,-0.0600000000000022,25.9,0.7524149089,82.59,0,27.71,1010.3,4.0,4.46,4.497996
4.46,81.07,21.08,0.01,0.7107994739,0.0699999999999931,27.1,0.7033947028,80.37,0,27.99,1010.5,3.0,4.71,4.1959715
4.71,80.95,20.55,0.0,0.680720869,0.0400000000000062,27.4,0.7325428988,81.07,0,27.87,1011.1,1.0,5.33,4.878739
